studentid,sex,age,bis1,bis2,bis3,bis4,bis5,bis6,bis7,bas1,bas2,bas3,bas4,bas5,bas6,bas7,bas8,bas9,bas10,bas11,bas12,bas13,a01_t1,a02_t1,a03_t1,a04_t1,a05_t1,a06_t1,a07_t1,a08_t1,a09_t1,a10_t1,a11_t1,a12_t1,a13_t1,a14_t1,a15_t1,a16_t1,a17_t1,a18_t1,a19_t1,a20_t1,d01_t1,d02_t1,d03_t1,d04_t1,d05_t1,d06_t1,d07_t1,d08_t1,d09_t1,d10_t1,d11_t1,d12_t1,d13_t1,d14_t1,d15_t1,d16_t1,d17_t1,d18_t1,d19_t1,d20_t1,a01_t2,a02_t2,a03_t2,a04_t2,a05_t2,a06_t2,a07_t2,a08_t2,a09_t2,a10_t2,a11_t2,a12_t2,a13_t2,a14_t2,a15_t2,a16_t2,a17_t2,a18_t2,a19_t2,a20_t2,d01_t2,d02_t2,d03_t2,d04_t2,d05_t2,d06_t2,d07_t2,d08_t2,d09_t2,d10_t2,d11_t2,d12_t2,d13_t2,d14_t2,d15_t2,d16_t2,d17_t2,d18_t2,d19_t2,d20_t2
51,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1,NA,1,3,4,3,3,2,1,3,4,4,4,4,3,3,3,3,4,4,2,3,1,1,1,2,2,2,1,1,1,1,2,3,1,1,1,1,1,1,2,1,3,4,2,4,4,2,4,3,1,1,3,1,3,1,2,2,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0,19,2,3,4,2,4,4,4,4,4,4,4,4,2,3,3,1,3,4,3,4,1,1,1,1,2,3,1,1,1,2,3,1,1,3,3,1,1,2,1,2,2,4,2,1,1,2,1,1,1,4,1,1,1,3,3,3,2,2,1,2,1,1,1,1,1,3,1,1,1,2,1,1,1,3,2,1,1,2,1,2,2,4,2,1,2,2,1,1,1,2,3,3,2,2,2,4,3,3,1,3
55,1,21,3,2,2,2,2,3,2,2,3,NA,3,3,3,3,3,3,3,3,3,4,3,3,1,2,3,4,2,1,1,1,3,1,1,2,3,1,2,3,2,1,1,4,1,3,4,1,2,1,1,4,1,4,2,1,1,3,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,0,20,1,4,4,4,4,2,4,4,4,4,4,3,3,2,3,4,3,2,3,3,2,2,2,3,2,4,2,2,1,3,3,3,1,4,3,1,3,3,2,3,3,2,1,4,2,3,1,4,1,4,3,2,2,4,3,4,3,3,1,3,2,2,1,2,2,3,1,2,1,2,3,2,1,3,3,1,2,2,2,2,3,2,2,2,1,3,1,4,1,4,3,2,3,4,3,4,4,2,1,3
57,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1,21,3,2,2,2,2,3,2,2,3,3,3,2,3,2,4,4,3,4,3,2,2,2,1,1,3,2,1,1,1,2,2,1,2,3,2,1,1,2,2,2,1,4,1,1,1,1,3,1,1,2,1,1,4,1,3,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1,20,3,3,3,2,3,3,2,1,4,4,3,3,4,3,3,4,3,4,1,3,2,1,2,2,1,2,1,1,1,2,2,2,1,2,2,1,2,1,2,2,2,2,1,2,1,1,1,1,1,2,3,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,1,2,3,1,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,1,2
60,1,NA,2,2,3,3,2,2,3,4,4,2,2,4,2,3,2,3,2,2,2,2,3,3,1,1,3,1,2,1,1,3,2,2,1,4,2,1,1,4,1,4,1,4,1,1,1,3,1,1,1,1,2,2,2,1,1,3,1,1,1,1,3,3,1,1,4,3,1,2,1,4,3,2,1,4,4,1,1,3,1,4,2,4,1,2,3,3,1,1,1,3,4,3,2,3,1,3,3,3,1,3
61,1,19,1,3,4,4,3,1,3,2,4,2,3,2,2,2,2,2,3,4,2,4,2,2,1,2,3,3,2,2,1,3,3,2,1,4,3,1,1,3,2,3,2,3,1,2,2,2,2,1,1,4,2,3,1,3,1,4,1,3,1,3,3,3,1,1,3,3,2,2,1,3,3,1,1,2,3,2,2,3,2,3,2,3,1,1,1,2,2,1,1,3,2,2,1,3,2,3,2,3,1,3
62,1,19,1,3,3,1,3,3,4,2,3,2,2,1,1,1,2,2,4,1,1,3,2,2,1,2,2,4,1,1,1,2,3,2,1,4,3,1,2,2,2,3,2,4,1,4,1,1,1,1,1,2,4,3,1,4,1,4,4,1,1,4,2,2,2,2,2,4,1,1,1,2,2,2,1,4,4,1,1,2,2,2,2,4,2,3,1,2,1,1,1,3,4,2,1,4,1,3,3,4,1,4
63,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1,19,1,4,4,4,4,1,4,4,3,3,3,4,4,3,3,4,4,2,3,3,3,4,3,4,4,3,4,4,4,4,4,4,1,4,4,2,4,4,4,4,4,4,2,3,2,1,1,1,2,4,4,3,1,4,4,4,4,4,4,4,3,4,2,4,4,3,2,2,2,4,4,4,2,4,4,1,4,4,4,4,4,4,1,4,1,1,1,1,2,4,4,2,4,4,4,4,3,4,4,4
65,1,NA,3,3,3,3,3,3,3,2,4,4,4,2,4,4,4,4,3,4,4,4,1,2,2,2,2,2,1,1,1,1,2,1,3,2,1,2,2,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0,20,1,4,4,4,4,2,1,4,4,3,3,3,3,3,3,3,4,2,3,3,3,3,1,1,3,3,1,1,1,2,3,1,1,4,4,1,1,3,1,2,3,3,3,1,2,2,3,1,1,3,4,1,1,2,1,3,3,2,1,2,3,4,3,3,4,3,3,3,1,4,4,4,3,4,4,1,4,4,4,4,4,3,4,4,4,1,4,1,1,4,4,4,3,3,4,4,2,3,3,4
67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,3,1,3,2,3,1,2,2,1,1,2,2,2,1,3,1,1,1,1,1,1,1,3,4,4,3,1,3,3,3,1,1,4
68,0,20,2,3,3,3,3,2,2,3,3,4,3,3,4,3,2,3,2,1,1,3,2,2,1,1,3,4,1,1,1,4,4,1,1,4,4,1,1,3,1,4,3,3,3,1,4,3,2,2,1,3,4,1,3,3,3,3,4,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,1,19,1,3,1,1,1,2,1,3,4,3,4,3,3,3,3,4,4,4,4,3,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,2,2,3,2,2,3,2,2,1,1,2,2,1,2,3,2,2,2,1,1,3,2,1,3,3,1,2,2,2,2,1,3,1,1,1,1,1,1,2,2,2,2,2,2,2,3,1,1,1,1
71,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1,19,3,3,3,3,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1,3,3,1,1,1,2,3,2,2,3,3,2,1,3,2,3,3,4,2,3,3,2,1,2,1,4,3,3,3,2,4,3,3,3,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,1,4,1,1,4,1,4,2,2,1,4,4,1,4,1,1,1,1,1,2
73,0,20,1,2,4,4,4,1,4,1,4,1,4,2,2,2,2,3,4,4,3,3,3,3,1,3,4,4,2,4,1,3,4,4,1,4,4,1,2,4,3,3,4,4,3,1,1,4,2,1,4,2,4,4,2,3,4,4,4,3,1,4,3,4,2,4,4,3,2,3,2,4,4,3,2,4,4,1,3,3,3,4,3,4,3,1,1,1,3,1,1,4,4,4,2,2,2,4,4,3,1,4
74,1,20,2,4,4,3,4,1,3,3,3,4,4,3,3,2,3,3,3,2,3,4,3,2,1,4,3,3,3,3,1,3,3,3,1,4,4,1,2,3,1,3,2,4,1,2,1,1,3,1,1,2,3,2,1,3,2,2,2,3,1,3,1,2,1,1,2,3,2,2,1,2,3,1,1,4,4,1,1,3,2,4,2,4,1,1,1,1,4,1,1,2,3,2,2,2,3,2,2,3,2,3
75,1,19,1,3,3,3,4,3,4,4,4,4,4,3,3,2,4,4,4,3,4,4,3,3,3,3,4,1,4,4,3,4,3,3,1,3,3,1,1,3,1,4,1,2,1,1,1,2,1,1,2,3,3,2,1,1,3,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,20,3,3,3,4,2,2,3,4,4,4,3,4,3,3,3,3,3,2,4,4,2,2,2,2,3,3,1,2,2,2,3,2,1,3,3,1,1,2,2,3,2,4,1,1,1,3,1,1,1,3,4,2,1,2,2,3,3,3,1,3,2,2,2,2,2,3,2,2,2,3,4,2,1,3,3,1,1,2,1,3,2,4,1,1,1,2,1,1,1,4,3,1,2,3,2,1,3,3,1,2
77,1,19,2,4,3,3,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,3,2,2,3,2,2,3,3,2,2,3,3,1,1,4,3,1,1,3,2,3,2,3,1,2,2,2,1,1,1,3,3,2,1,4,2,3,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1,20,3,2,2,2,3,3,2,3,4,4,4,3,4,4,4,4,3,4,4,3,2,2,1,1,3,3,1,1,1,3,3,2,1,2,2,1,1,2,1,2,2,4,2,3,3,2,3,1,1,2,3,2,2,2,1,2,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,1,19,1,4,4,4,4,1,4,3,4,4,4,3,4,4,4,4,3,2,2,3,1,1,1,1,2,4,1,1,1,1,2,2,1,4,4,1,1,1,2,1,3,4,2,3,2,1,2,1,1,1,2,1,NA,1,2,3,3,3,1,2,1,1,1,1,2,3,2,2,1,1,2,3,1,4,3,1,2,1,2,2,3,3,1,2,1,1,2,1,1,3,3,1,2,2,2,3,3,3,1,3
81,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,1,20,2,3,2,1,3,3,3,4,4,4,4,3,4,3,4,4,4,4,4,4,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,2,NA,4,1,1,1,1,3,1,1,3,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,2,1,2,3,2,1,1,1,2,2,1,1,1,1,1,1,4,1,1,2,2,3,1,1,3,1,1,3,1,2,2,1,1,1,1
83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,1,NA,3,2,3,3,3,2,3,3,3,2,2,3,2,2,1,2,3,2,3,2,2,4,2,2,3,2,2,4,2,3,3,2,1,4,3,1,2,3,3,3,1,4,1,1,1,1,1,1,1,2,4,1,1,1,4,2,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1,19,2,3,2,3,3,3,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,1,3,2,2,2,2,3,2,2,1,1,1,2,1,3,2,2,2,1,4,1,3,2,2,3,1,2,2,2,2,3,2,2,3,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1,20,2,1,1,3,3,2,3,3,4,4,4,3,3,2,3,4,4,4,3,4,2,2,1,1,1,3,3,1,1,4,2,3,1,3,2,2,1,1,1,2,1,3,1,1,1,4,3,1,1,1,2,2,3,2,1,2,3,2,1,3,2,3,1,2,2,2,2,1,1,2,3,3,2,2,3,1,1,2,1,1,1,3,1,1,2,3,2,1,1,3,2,2,1,2,1,2,3,3,1,2
87,1,NA,2,3,3,2,3,2,3,3,4,4,4,3,3,2,3,4,3,4,3,4,2,3,2,2,3,4,2,2,3,4,3,2,2,4,3,1,1,3,3,3,2,4,2,1,1,1,1,2,3,4,3,1,3,1,4,3,1,2,1,2,3,2,1,2,3,2,4,4,2,1,4,3,3,3,3,1,1,2,2,3,2,2,2,2,2,1,2,3,3,4,3,2,3,1,4,2,2,3,1,3
88,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,3,1,1,1,2,3,2,1,4,3,1,1,2,1,3,2,4,1,1,1,2,1,1,1,2,3,2,1,3,1,2,4,3,1,1
89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,2,3,2,1,3,2,2,1,3,3,1,1,2,2,2,2,4,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1
90,1,19,1,3,3,3,3,2,4,3,4,4,4,3,3,3,3,4,3,2,3,4,3,3,1,1,3,4,1,1,1,3,3,3,1,3,3,1,2,3,3,3,1,4,1,2,1,1,1,1,1,3,3,3,1,1,1,4,4,3,1,3,3,3,1,2,3,3,2,2,1,3,4,2,1,4,4,1,2,3,2,3,2,4,1,3,1,1,1,1,1,2,3,2,1,2,2,3,4,3,1,4
91,1,19,2,2,2,2,3,2,2,1,4,2,4,1,4,2,3,4,2,4,2,4,3,3,1,3,4,4,1,1,1,3,4,1,1,4,2,1,1,4,1,2,3,4,1,3,1,3,1,1,1,1,4,3,1,4,1,4,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,0,NA,3,3,3,2,3,3,2,4,4,4,4,4,4,4,4,4,4,3,4,4,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,4,2,1,1,1,2,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2,2,1,2,3,2,1,1,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1
93,0,19,2,3,3,3,3,3,2,4,4,3,3,3,3,3,3,1,3,4,4,3,3,2,1,2,3,1,2,2,1,2,2,3,1,2,2,1,2,3,2,2,2,4,3,4,2,2,2,4,1,3,3,3,1,2,2,4,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1,20,2,2,3,3,3,2,3,2,4,3,3,2,3,3,3,2,4,3,4,3,2,2,3,3,3,2,2,2,1,2,3,2,2,3,2,1,2,2,2,3,3,3,2,2,1,2,1,1,1,3,2,2,1,3,3,3,3,3,1,2,2,2,2,3,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2,1,1,2,1,1,2,3,3,3,2,2,2,4,3,3,1,2
95,1,19,1,4,2,4,2,2,3,2,4,3,3,2,2,2,2,1,4,4,4,3,3,3,2,1,3,2,1,1,1,2,2,1,1,4,2,1,1,3,1,3,3,4,1,1,1,1,4,2,2,4,4,4,1,3,1,3,3,3,1,3,2,2,1,1,3,3,1,1,1,1,3,1,1,3,2,1,1,1,1,2,2,4,1,1,3,1,4,2,1,2,3,3,1,3,1,3,2,2,1,2
96,1,20,2,4,4,4,4,3,4,2,4,3,2,3,4,3,2,1,4,2,3,3,1,2,1,3,3,2,1,1,1,1,2,1,1,3,2,1,1,2,1,2,1,4,3,4,1,1,1,1,1,4,2,2,1,2,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,1,NA,1,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,3,2,1,3,3,1,2,3,2,2,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,1,19,4,4,4,4,4,1,4,3,4,4,4,3,3,3,3,4,2,4,4,4,3,3,2,2,3,3,3,3,2,3,3,3,1,4,4,1,1,4,3,3,2,4,2,4,2,2,2,4,1,3,2,2,3,2,4,1,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,0,21,3,4,4,4,3,1,3,4,4,4,4,4,4,4,4,3,4,3,4,3,1,2,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,1,1,3,3,1,3,1,1,1,1,1,2,2,2,1,1,2,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1,19,2,4,4,4,3,1,4,2,3,3,4,2,3,2,3,3,3,2,2,4,3,3,1,3,3,4,2,2,2,3,3,3,3,2,3,2,3,3,3,3,2,4,2,3,1,2,1,1,2,3,3,3,3,2,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,1,NA,2,4,3,1,2,3,2,4,4,4,4,4,1,2,2,1,2,4,4,2,1,2,1,1,3,2,1,1,1,1,2,1,1,4,3,1,1,1,1,2,1,4,2,1,1,1,1,1,2,4,3,2,1,4,1,4,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,0,20,1,4,3,1,3,3,1,3,3,2,3,3,2,2,3,2,3,1,3,1,1,1,1,1,2,3,1,1,1,2,3,1,1,3,3,1,1,1,1,2,2,4,1,2,1,2,1,2,1,2,2,2,1,2,1,4,3,2,1,3,1,1,2,2,3,4,2,2,2,2,4,3,1,4,4,1,1,2,2,4,2,4,1,2,1,2,1,2,1,4,2,2,1,2,1,4,3,3,1,3
104,0,19,4,3,3,3,4,2,1,2,4,3,3,2,1,2,3,1,4,2,3,3,1,1,1,1,2,3,1,1,1,1,2,2,1,3,3,1,1,2,1,2,2,3,1,3,1,2,1,1,1,3,2,1,1,2,1,4,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,0,19,2,4,4,4,4,2,4,3,4,3,4,3,3,2,3,2,4,2,4,4,2,1,1,1,2,4,1,1,1,1,3,1,2,3,3,1,1,2,1,2,3,4,1,2,1,1,1,4,2,4,3,3,2,3,3,4,4,3,1,2,1,2,1,1,3,3,1,1,1,2,3,2,1,4,3,1,2,2,2,2,3,4,2,1,1,2,1,4,1,4,3,2,1,2,2,4,3,3,1,4
